Rank,Name,City,State,Tuition,Enrollment,Acceptance_Rate
#1,Princeton University,Princeton,NJ,65210,"5,813",5%
#2,Massachusetts Institute of Technology,Cambridge,MA,64730,"4,535",5%
#3,Harvard University,Cambridge,MA,64796,"7,038",4%
#4,Stanford University,Stanford,CA,68544,"7,904",4%
#4,Yale University,New Haven,CT,69900,"6,814",4%
#6,University of Chicago,Chicago,IL,73266,"7,519",4%
#7,Duke University,Durham,NC,73172,"6,523",6%
#7,Johns Hopkins University,Baltimore,MD,67170,"6,356",6%
#7,Northwestern University,Evanston,IL,70589,"9,060",8%
#7,University of Pennsylvania,Philadelphia,PA,71236,"10,013",5%
#11,California Institute of Technology,Pasadena,CA,68208,987,3%
#12,Cornell University,Ithaca,NY,72270,"16,128",8%
#13,Brown University,Providence,RI,74550,"7,910",5%
#13,Dartmouth College,Hanover,NH,71265,"4,570",5%
#15,Columbia University,New York,NY,71845,"9,111",4%
#15,"University of California, Berkeley",Berkeley,CA,55323,"33,469",11%
#17,Rice University,Houston,TX,65475,"4,789",8%
#17,"University of California, Los Angeles",Los Angeles,CA,48674,"33,471",9%
#17,Vanderbilt University,Nashville,TN,71226,"7,221",6%
#20,Carnegie Mellon University,Pittsburgh,PA,68096,"7,824",12%
#20,University of Michigan--Ann Arbor,Ann Arbor,MI,66203,"34,454",16%
#20,University of Notre Dame,Notre Dame,IN,67607,"8,880",11%
#20,Washington University in St. Louis,St. Louis,MO,69594,"8,220",12%
#24,Emory University,Atlanta,GA,68056,"7,407",10%
#24,Georgetown University,Washington,DC,71338,"7,833",13%
#26,University of North Carolina--Chapel Hill,Chapel Hill,NC,45228,"21,075",15%
#26,University of Virginia,Charlottesville,VA,62923,"17,901",17%
#28,University of Southern California,Los Angeles,CA,75162,"20,630",10%
#29,University of California San Diego,La Jolla,CA,54858,"34,955",27%
#30,University of Florida,Gainesville,FL,30886,"36,573",24%
#30,The University of Texas--Austin,Austin,TX,44908,"43,165",27%
#32,Georgia Institute of Technology,Atlanta,GA,35092,"20,592",14%
#32,New York University,New York,NY,65622,"29,060",9%
#32,"University of California, Davis",Davis,CA,50324,"32,273",42%
#32,"University of California, Irvine",Irvine,CA,49193,"30,204",29%
#36,Boston College,Chestnut Hill,MA,73508,"9,654",16%
#36,Tufts University,Medford,MA,73616,"7,126",12%
#36,University of Illinois Urbana-Champaign,Champaign,IL,38398,"37,140",42%
#36,University of Wisconsin--Madison,Madison,WI,44191,"39,083",45%
#40,"University of California, Santa Barbara",Santa Barbara,CA,49885,"23,181",33%
#41,The Ohio State University,Columbus,OH,42423,"46,815",61%
#42,Boston University,Boston,MA,71372,"18,805",11%
#42,Rutgers University--New Brunswick,Piscataway,NJ,39652,"37,985",41%
#42,"University of Maryland, College Park",College Park,MD,41186,"31,133",45%
#42,University of Washington,Seattle,WA,44640,"40,754",39%
#46,Lehigh University,Bethlehem,PA,67920,"5,911",26%
#46,Northeastern University,Boston,MA,69289,"17,432",5%
#46,Purdue University--Main Campus,West Lafayette,IN,28794,"44,819",50%
#46,University of Georgia,Athens,GA,32336,"32,399",38%
#46,University of Rochester,Rochester,NY,70384,"6,580",40%
#51,Case Western Reserve University,Cleveland,OH,69280,"6,528",38%
#51,Florida State University,Tallahassee,FL,21683,"32,720",24%
#51,Texas A&M University,College Station,TX,40157,"60,710",57%
#51,Virginia Tech,Blacksburg,VA,38310,"31,035",55%
#51,Wake Forest University,Winston-Salem,NC,70332,"5,490",22%
#51,William & Mary,Williamsburg,VA,52154,"7,063",34%
#57,"University of California, Merced",Merced,CA,49094,"8,372",90%
